,Review,Sentiment,liked
0,Good and fast service And Recommend ,Positive,1
1,"Disgusting service, i Hat this courier company ",Negative,0
2,Very very bad service ,Negative,0
3,Excellent service ,Positive,1
4,Their service is so good  I am satisfied ,Positive,1
5,Very bad service  Specially for home delivery ,Negative,0
6,"worst one  no customers services, rude behaviour ",Negative,0
7,its make a important rule in our life,Positive,1
8,need to improve customer service,Positive,1
9,Worst service ever  Their employees are illiterate and their behavior is like a terrotist!,Negative,0
10,Worst service ever  Every single employee is a thief ,Negative,0
11,Good service All Country,Positive,1
12,Never send food items via them  They eat the food items and later say the parcel has been lost ,Negative,0
13,The worst courier service of our country,Negative,0
14,"good delivery surveys,24-48 ghonta delivery , thank for fast delivery service ",Positive,1
15,Worst service ever  They even don’t know how to behave with customers  Their stuff are so rude ,Negative,0
16,"I delivered a photo frame and a mug to my close friend through this service, it was well and protectively wrapped in bubble wrap ",Positive,1
17,"Total rubbish, totally third class , disappointing service beyond imagination ",Negative,0
18,very very worse customer service ,Negative,0
19,Love remains,Positive,1
20,very bad service  products are sent here and there in different branches though we mentioned address clearly ,Negative,0
21,"Delivery men are Mannerless, Rude behaviour, Don't know how to give services  Less professional  ",Negative,0
22,Loved This,Positive,1
23,worst possible set of employees who would even go as fae as harassing you over phone!,Negative,0
24,"The service you provide in Rupganj, Bhulta branch is the most worst service ever i have seen for your Bhulta, Rupganj branch my recommendations   is to never make a deal with you�",Negative,0
25,"Worst service ever! Horrible manners of delivery people, zero professionalism, extremely poor service! Don’t understand how they are still in business !",Negative,0
26,Magdalene James has a successful mindset alongside superior technical knowledge  ,Positive,1
27,Worst customer service ! Worst courier service ever in Bangladesh! 😡😡,Negative,0
28,Will never recommend to anyone !,Negative,0
29,Poor customer service,Negative,0
30,Totally unprofessional and common sense less  avoid at any cost,Negative,0
31,Worst service  No customer care ,Negative,0
32,Nationwide fastest delivery service  Recommended ,Positive,1
33,Best couriers,Positive,1
34,3rd class service with 3rd class app,Negative,0
35,should improve delivery time and behaviour,Positive,1
36,I am satisfied Thanks,Positive,1
37,It is not my duty to prove my ownership on goods  It is your duty to prove my identification Staffs should get training on manner and how to deal with customer ,Negative,0
38,Very poor & unprofessional service ,Negative,0
39,i want to share a video footage Against sundarban curiar Branch of sitakund ,Negative,0
40,I m job at SCS Teknaf Branch Cox's bazar,Positive,1
41,Bad experience  I think the behavior of Sundarban Courier staff needs to be controlled  This behavior is not acceptable in today's digital age ,Negative,0
42,This is the most useless service  Home delivery does not deliver where requested  Take it as far as you are from the office ,Negative,0
43,"Alhamdulillah, I have benefited a lot by giving the complaint with proof on the page for charging extra money for receiving the parcel at the upazila level  Jazakumullah Khairon ",Positive,1
44,I must have complained at least 10 times so far about a rude delivery quality but you seem to think that rude delivery quality is more important than customer service ,Negative,0
45,Your service is very good lately,Positive,1
46,There is no such useless and bad courier service in Bangladesh ,Negative,0
47,Another name for fraud is Sundarban Courier Service,Negative,0
48,The most useless service in Bangladesh ,Negative,0
49,Sundarban Courier Service gave me a very bad experience ,Negative,0
50,Works with integrity  I am happy with their service and appreciate the administrative structure,Positive,1
51,Police station and agency branches provide worst service of Sundarban Courier ,Negative,0
52,And I didn't talk about home delivery ,Negative,0
53,Loved This,Positive,1
54,And don't call the customer from some branch and tell them that the parcel is coming ,Negative,0
