Review,Sentiment
Good and fast service And Recommend ,Positive
"Disgusting service, i Hat this courier company ",Negative
Very very bad service ,Negative
Excellent service ,Positive
Their service is so good  I am satisfied ,Positive
Very bad service  Specially for home delivery ,Negative
"worst one  no customers services, rude behaviour ",Negative
its make a important rule in our life,Positive
need to improve customer service,Positive
Worst service ever  Their employees are illiterate and their behavior is like a terrotist!,Negative
Worst service ever  Every single employee is a thief ,Negative
Good service All Country,Positive
Never send food items via them  They eat the food items and later say the parcel has been lost ,Negative
The worst courier service of our country,Negative
"good delivery surveys,24-48 ghonta delivery , thank for fast delivery service ",Positive
Worst service ever  They even don’t know how to behave with customers  Their stuff are so rude ,Negative
"I delivered a photo frame and a mug to my close friend through this service, it was well and protectively wrapped in bubble wrap ",Positive
"Total rubbish, totally third class , disappointing service beyond imagination ",Negative
very very worse customer service ,Negative
Love remains,Positive
very bad service  products are sent here and there in different branches though we mentioned address clearly ,Negative
"Delivery men are Mannerless, Rude behaviour, Don't know how to give services  Less professional  ",Negative
Loved This,Positive
worst possible set of employees who would even go as fae as harassing you over phone!,Negative
"The service you provide in Rupganj, Bhulta branch is the most worst service ever i have seen for your Bhulta, Rupganj branch my recommendations   is to never make a deal with you�",Negative
"Worst service ever! Horrible manners of delivery people, zero professionalism, extremely poor service! Don’t understand how they are still in business !",Negative
Magdalene James has a successful mindset alongside superior technical knowledge  ,Positive
Worst customer service ! Worst courier service ever in Bangladesh! 😡😡,Negative
Will never recommend to anyone !,Negative
Poor customer service,Negative
Totally unprofessional and common sense less  avoid at any cost,Negative
Worst service  No customer care ,Negative
Nationwide fastest delivery service  Recommended ,Positive
Best couriers,Positive
3rd class service with 3rd class app,Negative
should improve delivery time and behaviour,Positive
I am satisfied Thanks,Positive
It is not my duty to prove my ownership on goods  It is your duty to prove my identification Staffs should get training on manner and how to deal with customer ,Negative
Very poor & unprofessional service ,Negative
i want to share a video footage Against sundarban curiar Branch of sitakund ,Negative
I m job at SCS Teknaf Branch Cox's bazar,Positive
Bad experience  I think the behavior of Sundarban Courier staff needs to be controlled  This behavior is not acceptable in today's digital age ,Negative
This is the most useless service  Home delivery does not deliver where requested  Take it as far as you are from the office ,Negative
"Alhamdulillah, I have benefited a lot by giving the complaint with proof on the page for charging extra money for receiving the parcel at the upazila level  Jazakumullah Khairon ",Positive
I must have complained at least 10 times so far about a rude delivery quality but you seem to think that rude delivery quality is more important than customer service ,Negative
Your service is very good lately,Positive
There is no such useless and bad courier service in Bangladesh ,Negative
Another name for fraud is Sundarban Courier Service,Negative
The most useless service in Bangladesh ,Negative
Sundarban Courier Service gave me a very bad experience ,Negative
Works with integrity  I am happy with their service and appreciate the administrative structure,Positive
Police station and agency branches provide worst service of Sundarban Courier ,Negative
And I didn't talk about home delivery ,Negative
Loved This,Positive
And don't call the customer from some branch and tell them that the parcel is coming ,Negative
I will slowly disappear from Sundarban Courier,Negative
Loved This,Positive
"Total nonsense ,holds the customer hostage ,they do what they want ,don't care about the customer",Negative
Red X means love is endless ,Positive
Sundarban Courier Service is a shining example of dereliction of duty and bad service,Negative
At least writing with sadness they lost two of my parcels within 3-4 days  Keraniganj hub is very bad,Negative
Service is very good ,Positive
At least writing with sadness they lost two of my parcels within 3-4 days  Keraniganj hub is very bad,Negative
"Very horrible service  If you do not pick up the phone due to busyness, call back after 10 minutes and take it from the office ",Negative
Red X means love is endless ,Positive
Each of their delivery men seems to be the grandson of the Nawab ,Negative
"So late delivery, and call center people are not sincere at all",Negative
Very bad service,Negative
Hotline does not receive calls,Negative
It's been five days today and still no delivery,Negative
Very bad service very late to deliver,Negative
"When you call the hotline number, the call is not received but the money is deducted ",Negative
"Go ahead, we are with you",Positive
It's been six days today and still the parcel has not arrived,Negative
Sundarban Courier Service is bad marka service if you call their hotline number only Mukhst Vidya says tere motherchord service,Negative
Too bad no one sends anything urgent through them ,Negative
Learn to take care of people's lives ,Negative
People buy things with money and send things with your money  At least maintain that money value  It will not be possible to explain people's goods in that way ,Negative
Protect the deposit,Negative
Your service is very good lately,Positive
They are giving very bad service ,Negative
One of my parcels is traveling across the country but is not reaching my address ,Negative
"The beautiful forest is very bad in Korea  Charges the most  But instead of home delivery, they ask to collect from the office ",Negative
Best Special Ever,Positive
"Agree, but first their office needs to be vandalized ",Negative
"Your service is bad, you don't deliver on time because of you, the merchants suffer ",Negative
Very bad service ,Negative
The worst service of Bangladesh ,Negative
Delivery man's behavior is very bad,Negative
It seems that no other courier in Bangladesh provides such a bad service like yours,Negative
"There is nowhere else such bad service  In the beginning there was a little good service which earned the name, now they are leaving behind the name  Staff have no politeness, no education  Not so bad service ",Negative
"If you can't hire competent, efficient, honest employees, you should close the agency ",Negative
"Bad service, slow delivery and bad behavior when called ",Negative
"In terms of service, the third position is right  USB Express Limited  Entire Bangladesh ",Positive
International courier service,Positive
Alhamdulillah,Positive
Congratulations USB Express,Positive
"Previously, the parcel could be tracked on your website, but after the software update, it is not possible to track it ",Positive
Good luck in the future,Positive
Good job,Positive
usb is my favorite coder love you,Positive
Mashallah Alhamdulillah,Positive
Your trekking system is very weak,Negative
Your service is good,Positive
but the transportation cost is high according to the item,Negative
Trusted and Popular Courier Service,Positive
Launch your document service,Positive
"ok this time    If you want to take the company to a good level, you have to do something good ",Positive
Unable to browse usb tracking page  can't log in even after trying hundreds of times,Negative
Alhamdulillah today our MBZ office 8 50am opened,Positive
Always creative ,Positive
amazing,Positive
"This number has been sent from natore the day before yesterday,,,Uttra 9, still haven't received it,,if you could give me the location or soon, it would be great ",Negative
All are the same  The home delivery system is completely broken  These logistics support organizations survive only by advertising on Facedelivery,Negative
Better service at lower cost than all couriers,Positive
"Yesterday, I sent the courier to Yellow Pali ",Negative
I wrote the address above Pabna Sadar ,Negative
"Sent from Shyamoli branch, now tracking address is showing Ishwardi, Pabna ",Negative
"Good Service, I like there service",Positive
Redux is currently providing better service than before,Positive
REDX provides very good service,Positive
Red X is another name for public service ,Positive
Go ahead #Redx,Positive
Love remains,Positive
Many thanks and gratitude,Positive
Thank you so much for nominating me as a winner,Positive
Alhamdulillah I have won ,Positive
Thank you very much  I have been selected as a winner ,Positive
Loved This,Positive
I want to send a parcel outside Dhaka  Please tell me the rule,Positive
I deliveryed today from Kamalganj Moulvibazar through a parcel app but it was not picked up till 3 pm  No one has made any contact ,Negative
I would like to contact Redex service management or whoever I can complain to as a customer to hopefully get help ,Negative
Redox will reach the target path,Positive
Unique extraordinary incomparable ,Positive
Your service is very good lately,Positive
"Be aware dear customer, remember that compared to Red X, Red X  Unparalleled service across the country ",Positive
Do you have an office here?,Positive
Khagrachari Dighinala has dealer ships,Positive
Thanks for forgetting Mymensingh,Negative
awesome service redx,Positive
"Thanks REDX, can personal goods be sent through your service?",Positive
Thanks Redux for taking such a good step,Positive
Do you do home delivery all over Bangladesh?,Negative
Uninstall it  It won't install again after starting,Negative
I will stay with Redex inshallah ,Positive
We are with Redx,Positive
How to apply in Redux,Positive
"I have a product from Evely delivered to your courier, delivery address, charfashion area, bhola district, shashibhushan bazar, do you provide home delivery, or do I have to pick it up from the area courier office????",Negative
we will need,Positive
"We have been working, growing together since the beginning of RedX's journey  RedX's parcel tracking and fast payment facility has made running my business easier than ever ",Positive
RedX has helped us a lot with fast delivery and reduced parcel return rates  Next day payment facility has enabled us to keep our cash-flow normal ,Positive
"We are very satisfied with RedX's fast delivery solution  Thanks to the tracking facility, we are aware of the delivery in real time and can quickly respond to various queries of the buyers ",Positive
We always use RedX for delivery of Senna Lubricants  The RedX Cargo team's support and live tracking system make shipments easier ,Positive
RedX's logistics facility has made our business easier during the Corona Pandemic  I believe this relationship with RedX will deepen in the future ,Positive
"We have been working, growing together since the beginning of RedX's journey  RedX's parcel tracking and fast payment facility has made running my business easier than ever ",Positive
